date,view,response,wcontact,wresponse,registration
2022-09-11,7191,4,1,0,0
2022-09-18,10408,7,3,0,0
2022-09-25,9554,7,2,0,0
2022-10-02,9554,6,1,0,0
2022-10-09,8947,6,3,0,0
2022-10-16,14763,10,4,0,0
2022-10-23,27106,9,3,0,0
2022-10-30,12380,12,4,0,0
2022-11-06,4306,6,2,0,0
2022-11-13,14292,7,3,0,0
2022-11-20,7129,3,3,0,0
2022-11-27,8494,2,1,0,0
2022-12-04,10444,3,1,0,0
2022-12-11,7540,4,2,0,0
2022-12-18,6875,5,3,0,0
2022-12-25,5994,2,0,0,0
2023-01-01,7146,2,0,0,0
2023-01-08,7146,4,2,0,0
2023-01-15,7199,1,1,0,0
2023-01-22,6703,2,1,0,0
2023-01-29,5107,2,1,1,0
2023-02-05,7037,7,3,3,1
2023-02-12,7892,8,4,2,0
2023-02-19,6591,8,5,4,1
2023-02-26,6982,6,3,2,0
2023-03-05,7702,1,1,0,0
2023-03-12,6372,5,1,1,0
2023-03-19,7505,3,3,2,0
2023-03-26,7453,4,2,2,0
2023-4-2,7032,4,3,2,0
2023-4-9,8225,4,1,1,0
2023-4-16,7376,3,2,2,0
2023-04-23,6900,5,3,1,0
2023-05-04,5253,3,2,0,0
2023-05-09,5886,3,0,0,0
2023-05-16,6786,5,2,2,0
2023-05-23,5888,5,2,1,0
2023-05-30,5718,2,1,1,0
2023-06-06,7447,13,8,2,0
2023-06-13,5743,3,2,0,0
2023-06-20,5543,2,0,0,0
2023-06-27,4826,5,2,0,0
2023-07-04,5636,5,3,0,0
2023-07-11,3831,2,1,0,0
2023-07-18,4114,5,2,1,0
2023-07-25,4114,2,1,0,0
2023-08-01,5088,3,2,1,0
2023-08-08,5557,4,1,1,0
2023-08-15,3950,5,2,0,0
2023-08-22,4253,4,2,0,0
2023-08-29,3973,1,1,0,0
2023-09-05,4740,3,2,1,0
2023-09-12,4681,4,0,0,0
2023-09-19,4751,2,0,0,0
2023-09-26,5400,9,3,0,0
2023-10-03,3799,4,1,0,0
2023-10-10,3311,2,2,2,0
2023-10-17,3975,3,0,0,0
2023-10-24,3799,1,0,0,0
2023-10-31,6292,5,3,0,0
2023-11-7,5646,2,2,0,0
2023-11-14,4248,2,1,0,0
2023-11-21,4663,3,1,0,0
2023-11-28,4249,3,0,0,0
2023-12-05,4431,2,0,0,0
2023-12-12,4255,3,1,0,0
2023-12-19,3735,3,0,0,0
2023-12-26,3337,2,0,0,0
2024-01-02,3634,1,0,0,0
2024-01-09,3244,2,1,0,0
2024-01-16,5094,4,2,0,0
2024-01-23,3946,2,2,0,0
2024-01-30,3924,1,0,0,0
2024-02-06,4160,1,0,0,0