日期,主账号,打工人,岗位账号
2023-08-22,20,10,16
2023-08-29,6,21,13
2023-09-05,11,10,13
2023-09-12,7,10,21
2023-09-19,15,9,4
2023-09-26,25,4,11
2023-10-03,9,12,11
2023-10-10,12,10,8
2023-10-17,19,7,10
2023-10-24,12,73,10
2023-10-31,32,18,33
2023-11-7,32,36,19
2023-11-14,29,20,13
2023-11-21,23,17,16
2023-11-28,24,17,6
2023-12-05,29,27,17
2023-12-12,35,66,8
2023-12-19,18,36,10
2023-12-26,19,18,7
2024-01-02,22,14,9
2024-01-09,15,79,8
2024-01-16,28,115,22
2024-01-23,26,31,13
2024-01-30,18,25,12
2024-02-06,24,19,14