笔记名称,笔记链接,发布日期,观看量,评论数,点赞量,分享数,收藏数,直接涨粉数,标签,类别
零基础友好！数据分析训练营推荐,https://www.xiaohongshu.com/explore/652e49fe000000001a020c83,10/17/2023,673,5,0,0,3,4,#数据分析 #DA #dataanalyst #数据分析求职 #数据分析我在行 #北美data求职 #Python数据分析 #数据分析学习 #数据分析转行 #Techlent转行数据科学,课程宣传
广告推荐系统的具体应用都有哪些？,https://www.xiaohongshu.com/explore/6530940a000000002303945d,10/19/2023,576,0,1,0,1,0,#数据科学 #data #北美data求职 #recommendsystems #推荐系统 #广告推荐系统 #estimation #Techlent转行数据科学,干货分享
应届国际生PhD上岸美国银行DS 求职经验分享,https://www.xiaohongshu.com/explore/65323e9d0000000025023668,10/20/2023,617,0,1,1,0,0,#找工作别走弯路 #应届生工作 #应届生找工作 #2023应届生 #北美data求职 #23NG #23NG北美 #newgrad #newgrad找工作 #应届博士找工作 #留学生求职 #美国留学生 #秋招 #23秋招 #博士生日常 #PhD #datascience #数据科学 #Techlent转行数据科学,经验分享
Marketing Data Scientist 必须掌握的知识,https://www.xiaohongshu.com/explore/65361e780000000023039784,10/23/2023,612,0,3,0,2,3,"#数据科学
 #DS #marketing #datascience #北美data求职 #data #DataScientist #知识科普 #职场日常 #打工人日常 #Techlent转行数据科学",干货分享
休斯顿数据科学家线下交流会,https://www.xiaohongshu.com/explore/653680340000000025016981,10/23/2023,2102,5,19,10,7,14,"#休斯顿生活
  #休斯顿大学 #休斯顿 #Rice大学 #休斯顿留学生 #数据科学 #数据分析 #休斯顿华人",线下交流会
备战春招必看！数据科学一站式训练营推荐,https://www.xiaohongshu.com/explore/65376e50000000002202f457,10/24/2023,511,0,1,0,0,0,#数据科学 #春招 #留学生求职 #北美春招#北美data求职 #DS #data #datascience #北美求职 #24春招 #Techlent转行数据科学,报名截止日期
入职美国银行业 DS 半年，我都学到了什么？,https://www.xiaohongshu.com/explore/6538d293000000002500a2b6,10/25/2023,871,1,3,0,5,1,#今日份工作小结 #DS #数据科学 #北美data求职 #北美留学 #银行 #银行工作 #留学生日常 #美国银行 #北美DS #datascience #Techlent转行数据科学,经验分享
DS 线下交流会！休斯顿地区的同学看过来！,https://www.xiaohongshu.com/explore/653b5a560000000023039f71,10/27/2023,542,0,0,0,0,0,#休斯顿 #休斯顿生活 #休斯顿大学 #Rice大学 #数据科学 #北美data求职 #数据分析 #DS #DA #应届生找工作 #留学生 #留学生求职 #DataScience #Techlent转行数据科学,线下交流会
最后10天！数据科学求职训练营,https://www.xiaohongshu.com/explore/653b737e000000002202f473,10/28/2023,507,0,2,0,0,0,#数据科学 #北美data求职 #DS #coding #Python #留学生求职 #datascience #北美data #北美data工作 #Techlent转行数据科学,报名截止日期
DS求职推荐!数据科学训练营在线答疑会,https://www.xiaohongshu.com/explore/653f66500000000004038c30,10/23/2023,547,0,0,1,1,0,#数据科学 #北美data求职 #留学生求职 #DS #datascience #博士申请 #博士求职 #北美求职 #北美NG #Techlent转行数据科学,课程直播预告
北美 DS 薪资大揭秘！跟你想象中的一样吗？,https://www.xiaohongshu.com/explore/6540b2d000000000250088f3,10/31/2023,1112,0,2,1,3,0,#DS #数据科学 #北美data求职 #留学生求职 #转行数据科学家 #数据科学求职 #北美数据科学 #datascience #Techlent转行数据科学,干货分享
即将截止！休斯顿数据科学家线下交流会,https://www.xiaohongshu.com/explore/6541e47f000000002303af6f,11/01/2023,895,0,4,3,1,2,#休斯顿 #休斯顿生活 #休斯顿大学 #Rice大学 #休斯顿留学 #休斯顿留学生 #休斯顿华人 #美国华人 #美国留学生 #数据科学 #数据分析 #DS #DA,线下交流会
Marketing Data Scientist 必备！,https://www.xiaohongshu.com/explore/65435bf30000000025014253,11/02/2023,713,0,11,4,8,2,#数据科学 #DS #marketing #growthmarketing #增长营销 #市场营销 #datascience #DataScientist #北美data求职 #Techlent转行数据科学,干货分享
正在同步直播！休斯顿数据科学家线下交流会,https://www.xiaohongshu.com/explore/65449161000000002201e53e,11/04/2023,580,0,1,0,0,1,#休斯顿 #休斯顿生活 #休斯顿大学 #休斯敦 #Rice大学 #休斯顿留学 #休斯顿华人 #数据科学 #DS #北美data求职 #Techlent转行数据科学,直播通知
早鸟票最后3天！DS训练营在线答疑会预告,https://www.xiaohongshu.com/explore/654496c20000000025020ff7,11/04/2023,539,0,2,0,1,0,#数据科学 #DS #北美data求职 #datascience #数据科学家 #北美求职 #美国求职 #北美ng #应届生找工作 #应届毕业生 #Techlent转行数据科学,课程直播预告
正在直播：数据科学训练营在线答疑会,https://www.xiaohongshu.com/explore/65449281000000002303a4fb,11/05/2023,512,0,1,2,0,0,#数据科学 #DS #北美data求职 #留学生求职 #datascience #北美求职 #北美博士 #博士生日常 #Techlent转行数据科学,直播通知
早鸟票最后1天！数据科学一站式训练营,https://www.xiaohongshu.com/explore/65489ee1000000002201c383,11/06/2023,588,0,0,1,1,2,N/A,报名截止日期
推荐系统队伍如何和业务部门合作？,https://www.xiaohongshu.com/explore/654b283e0000000032032a62,11/08/2023,548,0,0,0,0,0,#推荐系统 #北美data求职#ai #建模 #ai推荐 #数据科学 #广告推荐 #recommendersystem #Techlent转行数据科学,干货分享
生物博士后转行数据科学，常见求职Q&A分享,https://www.xiaohongshu.com/explore/654ca36d000000003300930a,11/09/2023,624,0,0,0,1,0,#博士 #美国博后 #博士后 #DS #数据科学 #北美data求职 #博士转行 #留学生求职 #博士留学 #生物博士 #生物博后 #Techlent转行数据科学,干货分享
DS宝藏网站推荐！面试求职一网打尽！,https://www.xiaohongshu.com/explore/654df616000000000f028bf2,11/11/2023,545,0,3,0,1,0,#数据科学 #数据分析 #DS #data #北美data求职 #北美求职 #留学生求职 #简历模板 #求职简历 #学习网站 #Techlent转行数据科学,干货分享
Data Engineer 是否需要掌握 Hadoop？,https://www.xiaohongshu.com/explore/6551e636000000003202df33,11/13/2023,615,0,2,0,0,0,#数据科学 #DS #DE #ai #北美data求职 #bigdata #data求职 #数据工程 #数据工程师 #hadoop #Hadoop #DataEngineer #Techlent转行数据科学,干货分享
北美NG data上岸攻略!一站式保offer训练营,https://www.xiaohongshu.com/explore/65533973000000000f028d54,11/14/2023,611,2,0,0,0,0,#数据科学 #DS #北美data求职 #data #北美求职 #北美找工作 #留学生求职 #数据科学家 #北美数据科学 #Techlent转行数据科学,报名截止日期
生物工程博士6个月转行成通信行业 DS,https://www.xiaohongshu.com/explore/6554c41f0000000032034c31,11/15/2023,774,0,3,1,3,0,#数据科学 #DS #生物博士 #生物工程 #北美data求职 #转行 #转data #Techlent转行数据科学,经验分享直播预告
5个月拿下4个DS offer，快速上岸诀窍有哪些,https://www.xiaohongshu.com/explore/6555d2ff000000003202c3bf,11/16/2023,683,0,1,0,1,1,#数据科学 #北美data求职 #DS #转行 #生物博士 #data #美国data #Techlent转行数据科学,干货分享
北美data求职：为什么简历总是过不了 HR 轮,https://www.xiaohongshu.com/explore/65570dc8000000000f028410,11/18/2023,564,0,1,1,0,0,#数据科学 #北美data求职 #北美求职 #DS #北美求职 #求职简历 #简历这样做 #data #Techlent转行数据科学,干货分享
生物工程博士6个月转行成通信行业 DS,https://www.xiaohongshu.com/explore/6556c9030000000033007243,11/19/2023,548,0,0,1,0,1,#数据科学 #DS #博士生日常 #在职博士 #北美data求职 #生物博士 #博士留学 #留学生求职 #博士求职 #datascience #Techlent转行数据科学,经验分享直播预告
报名最后1天！你离上岸DS最近的一步!,https://www.xiaohongshu.com/explore/655b2196000000003202ca5b,11/20/2023,632,0,0,0,0,1,#数据科学 #春招 #北美春招 #北美求职 #留学生求职 #美国求职 #data求职 #ds求职 #数据科学求职 #Techlent转行数据科学,报名截止日期
Data Engineer 都要掌握哪些工具？,https://www.xiaohongshu.com/explore/655c6f6100000000330067fc,11/21/2023,849,0,8,0,14,2,#数据科学 #dataengineer #de #data #DE #北美data求职 #data求职 #建模 #大数据 #data面试 #Techlent转行数据科学,干货分享
生物博士成功上岸 DS，实用面经分享!,https://www.xiaohongshu.com/explore/655dc09b000000003202f16b,11/22/2023,639,0,0,0,2,0,#数据科学 #面试技巧 #面经 #生物博士 #博士求职 #DS #北美data求职 #求职季 #Techlent转行数据科学,经验分享
北美留子看过来！带你零基础上岸数据分析！,https://www.xiaohongshu.com/explore/656051d10000000033002ab0,11/25/2023,571,0,1,0,1,0,#数据分析#北美留学 #留学生求职 #数据分析求职 #北美data求职 #美国求职 #北美留学#DA #数据分析师 #数据分析我在行 #数据分析有窍门 #数据分析转行 #美國留學 #美国留学生 #美国华人 #Techlent转行数据科学,干货分享
Machine Learning Engineer 都做什么工作？,https://www.xiaohongshu.com/explore/65644f7e00000000320396a6,11/27/2023,920,0,6,2,8,3,#数据科学 #machinelearning #机器学习 #北美data求职 #MLE #DS #数据分析 #Techlent转行数据科学,干货分享
生物工程博士转行 DS ，我后悔了吗？,https://www.xiaohongshu.com/explore/6565b1a8000000003300a565,11/28/2023,1068,0,1,0,1,0,#数据科学 #北美data求职 #转行 #博士转行 #博士留学 #美国求职 #生物博士 #生物天坑 #我的转行初体验 #DS #Techlent转行数据科学,经验分享
北京线下讲座：人工智能的应对与挑战,https://www.xiaohongshu.com/explore/6566aedf000000000f025471,11/28/2023,925,0,5,2,2,3,#人工智能 #数据科学#北京大学生#北京线下 #北京周末 #北京博士 #北京学生 #中国科学院大学 #中科院 #北京理工大学 #ai #玩转人工智能#北京研究生 #北京读研 #北京读博 #北理工 #北京周末去哪儿 #Techlent转行数据科学,线下交流会
8年全职妈妈，6个月重返职场成为数据分析师,https://www.xiaohongshu.com/explore/656d670f0000000005038261,12/04/2023,797,0,2,1,1,2,#数据分析 #数据分析我在行 #数据分析转行 #数据分析求职 #全职妈妈重返职场 #全职妈妈or职场妈妈 #全职妈妈 #全职妈妈那些事 #Techlent转行数据科学,经验分享直播预告
原来这才是全职妈妈重返职场的第一道难关,https://www.xiaohongshu.com/explore/656edb000000000007008661,12/05/2023,612,0,2,0,1,1,#数据分析 #数据分析我在行 #数据分析转行 #数据分析求职 #DA #应届生求职 #北美求职 #北美data求职 #留学生求职 #数据分析师 #Techlent转行数据科学,经验分享
MachineLearning Engineer日常都做什么工作,https://www.xiaohongshu.com/explore/6570296f000000000801e20e,12/06/2023,707,0,1,0,2,1,#数据科学 #MLE #机器学习 #machinelearning #DS #datascience #北美data求职 #machinelearningengineer #Techlent转行数据科学,干货分享
应届博士上岸银行 DS，我做了哪些准备,https://www.xiaohongshu.com/explore/65727edc000000000703b18e,12/07/2023,736,0,1,1,0,0,#数据科学 #应届 #北美data求职 #应届生找工作 #23届应届生 #应届生求职 #博士生日常 #博士转行 #Techlent转行数据科学,经验分享
8年全职妈妈，6个月重返职场成为数据分析师,https://www.xiaohongshu.com/explore/6572db49000000000901c9df,12/10/2023,578,0,1,1,1,1,#数据分析 #数据分析我在行 #数据分析转行 #数据分析求职 #全职妈妈重返职场 #全职妈妈or职场妈妈 #全职妈妈 #全职妈妈那些事 #Techlent转行数据科学,直播通知
土木工程博士6个月转行成金融科技行业 DS,https://www.xiaohongshu.com/explore/65781d82000000000801c0fa,12/12/2023,633,0,1,1,1,0,#博士毕业 #数据科学 #北美data求职 #博士求职 #零基础转行 #DS #北美求职 #北美博士 #美國留學 #美国博士 #Techlent转行数据科学,经验分享直播预告
"当面试官问为什么gap 8年时,如何高情商回答",https://www.xiaohongshu.com/explore/65796d160000000007039da9,12/13/2023,663,0,1,0,1,0,#全职妈妈 #职场妈妈 #全职妈妈重返职场 #gap #职场空窗期 #数据科学 #北美data求职 #面试技巧 #面试有秘招 #我的gap日常 #全职妈妈那些事 #Techlent转行数据科学,经验分享
北美 NG 零基础友好! 5个月带你入门 DS,https://www.xiaohongshu.com/explore/657aa912000000000801ca3b,12/14/2023,644,2,5,4,2,0,#数据科学 #北美data求职 #DS #北美求职 #留学生求职 #北美留学 #美国求职 #美國留學 #data #datascience #Techlent转行数据科学,课程宣传
土木工程博士6个月转行成金融科技行业 DS,https://www.xiaohongshu.com/explore/657c07340000000007039c6d,12/17/2023,616,0,1,2,0,1,#博士毕业 #数据科学 #北美data求职 #博士求职 #零基础转行 #DS #北美求职 #北美博士 #美國留學 #美国博士 #美国留学生 #Techlent转行数据科学,直播通知
编程小白救星!零基础入门 Python 课程推荐,https://www.xiaohongshu.com/explore/658160770000000009027df8,12/19/2023,557,0,0,0,0,0,#Python #python学习 #Python入门学习 #python自学 #嗨翻python #python爬虫 #编程 #机器学习 #python机器学习 #数据科学 #北美data求职 #Techlent转行数据科学,课程宣传
4个月上岸金融科技行业 DS，我是这样求职的,https://www.xiaohongshu.com/explore/6582ad38000000000902074c,12/20/2023,601,0,0,1,1,0,#北美data求职 #数据科学 #求职简历 #金融行业 #金融求职 #转行数据科学家 #DS #北美求职 #北美留学生求职 #美国求职 #Techlent转行数据科学,经验分享
美国休斯顿大学健康医学 DS 课题组招人啦！,https://www.xiaohongshu.com/explore/6584ee16000000000602019a,12/21/2023,1008,0,14,9,12,5,#留学申请季 #研究生申请 #留学美国 #美国留学申请 #美国留学生 #美国研究生 #美国研究生申请 #美国大学申请#美国访问学者 #美国大学 #美国研究生留学申请 #美国博士申请 #休斯顿大学 #博士申请 #留學 #Techlent转行数据科学,其他
零基础3个月转行数据分析真的太香啦！,https://www.xiaohongshu.com/explore/65854bcf00000000090211b9,12/22/2023,576,0,1,1,1,0,#数据分析 #数据分析求职 #数据分析转行 #转码 #零基础转码 #北美转码 #数据分析我在行 #北美data求职 #sql #Python #java #北美求职 #留学生求职 #美国求职 #Techlent转行数据科学,课程宣传
我如何克服面试恐惧症，成功拿下 DA offer,https://www.xiaohongshu.com/explore/6589448c000000001200b551,12/25/2023,570,0,0,0,0,0,#求职经验侃侃谈 #留学生求职 #面试有秘招#数据分析 #数据分析求职 #北美data求职 #数据分析转行 #面试技巧 #全职妈妈 #职场妈妈#全职妈妈重返职场 #妈妈经验分享 #Techlent转行数据科学,经验分享
课程真实反馈，零基础如何入门 python？,https://www.xiaohongshu.com/explore/658bcc21000000000f03149f,12/27/2023,540,0,0,0,0,1,#Python #python #python学习 #数据科学 #Python入门学习 #嗨翻python #小白自学Python #零基础学Python #北美data求职 #python自学 #Python数据分析 #Techlent转行数据科学,课程宣传
6个月转成金融业 DS，上岸感受分享,https://www.xiaohongshu.com/explore/658d3f1b000000000f0316c2,12/28/2023,653,0,1,1,1,1,#求职经验侃侃谈 #留学生求职 #数据科学 #北美data求职 #求职季 #北美金融求职 #北美求职 #美国金融求职 #美国求职 #美国data求职 #Techlent转行数据科学,经验分享
直播预告：数据分析训练营答疑会,https://www.xiaohongshu.com/explore/658e639e000000000f032c4c,12/29/2023,547,0,0,1,0,0,#数据分析 #数据分析求职 #数据分析转行 #数据分析学习 #北美数据分析 #美国data求职 #北美data求职 #留学生求职 #Techlent转行数据科学,课程直播预告
免费试听！想入门Python的零基础小白有福了,https://www.xiaohongshu.com/explore/6593c3c20000000012006203,01/02/2024,521,2,0,0,0,0,#Python #python学习 #Python入门学习 #python自学 #嗨翻python #python爬虫 #编程 #编程学习 #机器学习 #python机器学习 #数据科学 #Techlent转行数据科学,课程宣传
北美应届毕业生找工作为什么这么难？,https://www.xiaohongshu.com/explore/65952688000000000f01352f,01/03/2024,550,0,1,0,0,0,#应届生找工作 #应届生 #数据科学 #应届生求职 #应届生焦虑 #北美应届生 #美国应届生 #应届毕业生 #应届毕业生找工作 #23届应届生 #24届应届生 #北美data求职 #Techlent转行数据科学,干货分享
DA Camp 正在报名中！本周日将在线答疑,https://www.xiaohongshu.com/explore/65966ac8000000000f01e51a,01/04/2024,499,0,0,0,0,1,#数据分析 #数据分析我在行 #留学生求职 #北美data求职 #数据分析求职 #数据分析有窍门 #数据分析转行 #数据分析学习 #Python数据分析 #数据分析面试 #Techlent转行数据科学,课程直播预告
最后10天！带你零基础转行数据分析,https://www.xiaohongshu.com/explore/6597a0750000000010011c69,01/06/2024,502,0,1,2,0,1,#数据分析 #数据分析我在行 #数据分析求职 #数据分析转行 #数据分析有窍门 #北美data求职 #美国data求职 #DA #Techlent转行数据科学,报名截止日期
正在直播！数据分析训练营在线答疑会,https://www.xiaohongshu.com/explore/6597a123000000000f01d962,01/07/2024,456,0,0,1,0,0,#数据分析 #数据分析求职 #数据分析我在行 #数据分析有窍门 #数据分析转行 #北美data求职 #美国data求职 #DA #Techlent转行数据科学,直播通知
刷到这篇说明你离上岸 DA 不远了！,https://www.xiaohongshu.com/explore/659d0def000000001200a9ae,01/09/2024,517,0,2,1,0,0,#数据分析 #数据分析我在行 #数据分析有窍门 #数据分析求职 #数据分析转行 #da #DA #数据分析学习 #data #北美DA求职 #北美data求职 #美国data求职 #Techlent转行数据科学,报名截止日期
就在本周！湾区线下 DS 活动,https://www.xiaohongshu.com/explore/659cfc230000000012007701,01/09/2024,859,2,11,6,2,2,#湾区生活 #湾区周末去哪儿 #湾区周末 #数据科学 #加利福尼亚大学 #圣塔克拉拉大学#加州大学伯克利分校 #圣何塞州立大学 #旧金山大学 #旧金山湾区 #旧金山州立大学 #旧金山留学 #圣玛丽学院 #湾区留学 #sjsu #SJSU #美国留学生活 #美国留学生 #留学美国 #美国本科留学 #美国博士后 #北美data求职 #美国data求职 #Techlent转行数据科学,线下交流会
北美应届毕业生都有哪些求职误区？,https://www.xiaohongshu.com/explore/659e64c90000000012006ce5,01/10/2024,508,0,0,0,0,0,#留学生 #留学生实习 #留学生求职 #应届毕业生 #应届生找工作 #应届生 #北美data求职 #北美应届生找工作 #数据科学 #职场日常 #Techlent转行数据科学,干货分享
本周末 DS 线下交流会！湾区的同学看过来！,https://www.xiaohongshu.com/explore/659fa0e1000000000f0335c4,01/11/2024,621,0,1,1,0,1,#湾区 #湾区生活 #湾区周末去哪儿 #湾区周末 #数据科学 #数据分析 #美国留学生 #留学美国 #加利福尼亚大学 #加州大学圣塔芭芭拉分校 #圣塔克拉拉大学 #加州大学伯克利分校 #加州大学 #伯克利 #圣何塞 #圣何塞州立大学 #旧金山湾区 #旧金山大学 #旧金山生活 #旧金山留学 #湾区留学 #sjsu #SJSU #美国data求职 #北美data求职 #美国线下 #Techlent转行数据科学,线下交流会
报名即将截止！本周末湾区 DS 线下交流活动,https://www.xiaohongshu.com/explore/65a0f590000000001200981b,01/12/2024,534,0,0,1,0,1,#湾区 #湾区生活 #湾区周末去哪儿 #湾区周末 #数据科学 #数据分析 #美国留学生 #留学美国 #加利福尼亚大学 #圣塔克拉拉大学 #加州大学伯克利分校 #加州大学 #圣何塞州立大学 #旧金山大学 #旧金山湾区 #旧金山生活 #旧金山留学 #湾区留学 #sjsu #SJSU #北美生活 #北美data求职 #美国data求职 #Techlent转行数据科学,线下交流会
目标春招！这是你离成为 DA 最近的一步,https://www.xiaohongshu.com/explore/65a0f6a00000000013035f12,01/13/2024,409,0,0,0,0,0,#数据分析 #数据分析我在行 #数据分析有窍门 #数据分析求职 #数据分析转行 #DA #春招 #校招 #北美春招 #北美2023春招 #美国春招 #留学生求职 #留学美国 #美国留学生 #Techlent转行数据科学,报名截止日期
正在同步直播！湾区数据科学家线下交流会！,https://www.xiaohongshu.com/explore/65a0f77b00000000120056d9,01/14/2024,526,0,0,2,0,3,#数据科学 #北美data求职 #美國留學 #留学美国 #美国留学生 #湾区生活 #湾区周末去哪儿 #湾区 #sjsu #SJSU #加利福尼亚大学 #圣塔克拉拉大学 #加州大学伯克利分校 #加州大学 #美国data求职 #Techlent转行数据科学,直播通知
想冲刺春招的同学别错过！带你零基础转行DA,https://www.xiaohongshu.com/explore/65a4d4120000000012004a6b,01/15/2024,423,0,0,0,1,2,#数据分析 #数据分析求职 #数据分析我在行 #数据分析有窍门 #数据分析转行 #数据分析学习 #数据分析面试 #DA #dataanalyst #北美data求职 #Techlent转行数据科学,报名截止日期
春招在即，应届生一定要做好这些求职准备！,https://www.xiaohongshu.com/explore/65a630cf000000002802340f,01/16/2024,400,0,0,0,0,0,#应届生找工作 #应届毕业生 #应届毕业生找工作 #春招 #应届生 #应届生求职 #校招 #社招 #留学生 #留学生求职 #数据科学 #北美data求职 #数据分析 #数据分析求职 #秋招 #24春招 #Techlent转行数据科学,干货分享
直播答疑预告：北美数据科学求职,https://www.xiaohongshu.com/explore/65a73ac30000000028021c91,01/16/2024,467,0,0,0,0,0,#数据科学 #数据分析求职 #北美data求职 #北美求职 #美国求职 #美国data求职 #留学生求职 #留学美国 #美国留学生 #应届生求职 #美国应届生 #应届生找工作 #DS #DA #Techlent转行数据科学,周三直播预告
零基础友好!数据科学 Boot Camp,https://www.xiaohongshu.com/explore/65a797aa000000002803deb4,01/17/2024,512,2,2,0,1,1,#数据科学 #北美data求职 #数据科学求职 #机器学习 #python学习 #DS #美国data求职 #datascience #美国求职 #留学生求职 #应届毕业生 #美国应届生 #newgrad #美国NG #北美NG #Techlent转行数据科学,课程宣传
AI 领域大佬手把手带你入门！LLM 课程推荐,https://www.xiaohongshu.com/explore/65aa26830000000029011553,01/19/2024,470,0,0,2,0,0,#LLM #大语言模型 #ai #AI #人工智能 #玩转人工智能 #chatgpt #chatGPT #AI人工智能 #Gpt #机器学习 #数据科学 #人机交互 #数据分析我在行 #Techlent转行数据科学,课程宣传
跟着AI大佬学了两个月大语言模型是什么体验,https://www.xiaohongshu.com/explore/65af7de2000000000a031477,01/23/2024,402,0,0,0,0,0,#LLM #大语言模型 #ai #AI #人工智能 #chatgpt #机器学习 #Techlent转行数据科学 #数据科学,课程宣传
大语言模型（LLM）专项课程答疑会,https://www.xiaohongshu.com/explore/65b0d6050000000011011510,01/24/2024,419,0,0,1,0,0,#大语言模型 #LLM #llm #人工智能 #ai #AI人工智能 #机器学习 #深度学习 #数据科学 #大模型 #AI学习 #Techlent转行数据科学,课程直播预告
SQL 面试考 Coding 时需要注意什么？,https://www.xiaohongshu.com/explore/65b0d06e0000000011013c01,01/24/2024,484,0,1,0,1,0,#sql #SQL #SQL自学 #sql刷题 #数据分析 #数据分析求职 #数据分析转行 #数据分析学习 #数据分析面试 #DA #da #dataanalyst #Techlent转行数据科学,干货分享
AI入门：大语言模型（LLM）公开成果汇报,https://www.xiaohongshu.com/explore/65b2168f0000000011000bd2,01/25/2024,406,0,1,0,1,0,#大语言模型 #llm #ai #人工智能 #AI人工智能 #机器学习 #深度学习 #算法 #数据可视化 #人机交互 #数据分析我在行 #数据分析 #数据科学 #Techlent转行数据科学,课程直播预告
正在直播：大语言模型(LLM）驱动下的AI应用,https://www.xiaohongshu.com/explore/65b363da000000001003ca2c,01/26/2024,403,0,1,1,0,0,#大语言模型 #LLM #ai #人工智能 #AI人工智能 #机器学习 #深度学习 #数据科学 #大模型 #Techlent转行数据科学,直播通知
正在直播：大语言模型(LLM)专项课程答疑会,https://www.xiaohongshu.com/explore/65b364bb000000001100b0ab,01/27/2024,375,0,0,1,0,0,#大语言模型 #LLM #ai #人工智能 #AI人工智能 #大模型 #建模 #数据科学 #机器学习 #深度学习 #ChatGPT #chatgpt #Techlent转行数据科学,直播通知
【直播答疑预告】北美数据科学求职,https://www.xiaohongshu.com/explore/65b87df6000000001100c187,01/29/2024,509,0,1,1,0,0,#数据科学 #求职辅导 #数据分析求职 #面试辅导 #北美data求职 #美国留学生 #美国求职 #美国data求职 #应届生找工作 #应届生求职 #留学生求职 #Techlent转行数据科学,周三直播预告
LLM 是什么？为什么那么多岗位要求要 LLM,https://www.xiaohongshu.com/explore/65ba0f8100000000110046c1,01/31/2024,435,0,1,0,0,0,#大语言模型 #chatgpt #ai #人工智能 #大模型 #LLM #自然语言处理 #NLP #gpt4 #机器学习 #MLE #数据科学 #DS #datascience #Techlent转行数据科学,课程宣传
直播预告：澳洲医学博士如何成为美国DS,https://www.xiaohongshu.com/explore/65bc508d0000000001032d7b,02/01/2024,,,,,,,#数据科学 #北美求职 #澳洲博士 #博士转行 #医学博士 #美国求职 #北美data求职 #美国data求职 #datascience #DS #Techlent转行数据科学,经验分享
正在直播：澳洲医学博士如何成为美国 DS,https://www.xiaohongshu.com/explore/65bc6592000000000202049c,02/03/2024,,,,,,,#数据科学 #医学博士 #北美求职 #美国求职 #美国Data求职 #北美data求职 #Techlent转行数据科学,直播通知
冲刺秋招！转行 DS 一站式 bootcamp 推荐,https://www.xiaohongshu.com/explore/65c1e45d0000000002011708,02/06/2024,,,,,,,#数据科学 #数据科学求职 #北美求职 #北美data求职 #美国data求职 #DS #datascience #Techlent转行数据科学,报名截止日期
【互动直播】北美数据科学求职,https://www.xiaohongshu.com/explore/65c2b4fd000000002c03f5d6,02/06/2024,,,,,,,#数据科学 #北美求职 #留学生求职 #北美data求职 #北美留学 #求职招聘 #美国找工作 #应届生找工作 #求职经验侃侃谈 #Techlent转行数据科学,周三直播预告
